name,price,price_per_kg
Lentejas pardinas Vegecampo de Dia bolsa 1 Kg,"2,10 €","(2,10 €/KILO)"
Lentejas castellanas Vegecampo de Dia bolsa 1 Kg,"2,10 €","(2,10 €/KILO)"
Lentejas cocidas Vegecampo de Dia frasco 400 g,"0,80 €","(2,00 €/KILO)"
Lentejas pardinas Luengo bolsa 500 g,"2,05 €","(4,10 €/KILO)"
Lentejas cocidas Vegecampo de Dia frasco 210 g,"0,70 €","(3,33 €/KILO)"
Lentejas pardinas Luengo bolsa 1 Kg,"3,99 €","(3,99 €/KILO)"
Lentejas pardinas Legumbres La Asturiana bolsa 500 g,"2,55 €","(5,10 €/KILO)"
Lentejas pardinas cocidas Luengo frasco 400 g,"1,45 €","(3,63 €/KILO)"
Lentejas rojas peladas Luengo caja 400 g,"2,49 €","(6,23 €/KILO)"
Lentejas pardinas Legumbres La Asturiana bolsa 1 Kg,"5,00 €","(5,00 €/KILO)"
